,Closest Match,Medicine Name,Active Ingredients,Product Number,List of Excipients,Dosage Form,Formulated compound SMILES,Parent compound SMILES,Parent ChEMBL ID
16,DIMETHYL FUMARATE,Dimethyl fumarate Teva,['DIMETHYL FUMARATE'],EMEA/H/C/005963,"['TITANIUM DIOXIDE', 'METHACRYLIC ACID AND ETHYL ACRYLATE CO-POLYMERS', 'GELATIN', 'MICROCRYSTALLINE CELLULOSE', 'POTASSIUM HYDROXIDE', 'SHELLAC', 'BRILLIANT BLUE', 'MAGNESIUM STEARATE', 'TALC', 'METHACRYLIC ACID AND METHYL METHACRYLATE CO-POLYMERS', 'IRON OXIDE', 'PROPYLENE GLYCOL', 'SILICON DIOXIDE, ANHYDROUS', 'CROSCARMELLOSE SODIUM', 'TRIETHYL CITRATE']",Gastro-Resistant Hard Capsule,COC(=O)/C=C/C(=O)OC,COC(=O)/C=C/C(=O)OC,CHEMBL2107333
17,OLANZAPINE,Olanzapine Glenmark Europe,['OLANZAPINE'],EMEA/H/C/001086,"['MANNITOL', 'MICROCRYSTALLINE CELLULOSE', 'ASPARTAME', 'MAGNESIUM STEARATE', 'CROSPOVIDONE']",Orodispersible Tablet,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CHEMBL715
18,OLANZAPINE,Olanzapine Glenmark,['OLANZAPINE'],EMEA/H/C/001085,"['MANNITOL', 'MICROCRYSTALLINE CELLULOSE', 'ASPARTAME', 'MAGNESIUM STEARATE', 'CROSPOVIDONE']",Tablet,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,CHEMBL715
19,POSACONAZOLE,Posaconazole Accord,['POSACONAZOLE'],EMEA/H/C/005005,"['XYLITOL', 'METHACRYLIC ACID AND ETHYL ACRYLATE CO-POLYMERS', 'TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'POLYVINYL ALCOHOL PART. HYDROLISED', 'PROPYL GALLATE', 'SODIUM STEARYL FUMARATE', 'POLYETHYLENE GLYCOL', 'TALC', 'HYDROXYPROPYLCELLULOSE', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'CROSCARMELLOSE SODIUM', 'TRIETHYL CITRATE']",Gastro-Resistant Tablet,CC[C@@H]([C@H](C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5C[C@](OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,CHEMBL1397
20,TEPOTINIB HYDROCHLORIDE MONOHYDRATE,Tepmetko,['TEPOTINIB HYDROCHLORIDE MONOHYDRATE'],EMEA/H/C/005524,"['TITANIUM DIOXIDE', 'MANNITOL', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'GLYCEROL TRIACETATE', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'CROSPOVIDONE']",Tablet,CN1CCC(CC1)COC2=CN=C(N=C2)C3=CC=CC(=C3)CN4C(=O)C=CC(=N4)C5=CC=CC(=C5)C#N.O.Cl,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,CHEMBL3402762
21,SODIUM PHENYLBUTYRATE,Ammonaps,['SODIUM PHENYLBUTYRATE'],EMEA/H/C/000219,"['SILICON DIOXIDE, ANHYDROUS', 'MAGNESIUM STEARATE', 'MICROCRYSTALLINE CELLULOSE']",Tablet,C1=CC=C(C=C1)CCCC(=O)[O-].[Na+],O=C(O)CCCc1ccccc1,CHEMBL1469
22,SODIUM PHENYLBUTYRATE,Ammonaps,['SODIUM PHENYLBUTYRATE'],EMEA/H/C/000219,"['CALCIUM STEARATE', 'SILICON DIOXIDE, ANHYDROUS']",Granules,C1=CC=C(C=C1)CCCC(=O)[O-].[Na+],O=C(O)CCCc1ccccc1,CHEMBL1469
23,PRUCALOPRIDE SUCCINATE,Resolor,['PRUCALOPRIDE SUCCINATE'],EMEA/H/C/001012,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'GLYCEROL TRIACETATE', 'SILICON DIOXIDE, ANHYDROUS']",Tablet,COCCCN1CCC(CC1)NC(=O)C2=CC(=C(C3=C2OCC3)N)Cl.C(CC(=O)O)C(=O)O,COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1,CHEMBL117287
24,IMATINIB MESILATE,Imatinib Accord,['IMATINIB'],EMEA/H/C/002681,"['MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'TALC', 'CROSPOVIDONE']",Tablet,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL941
25,REPAGLINIDE,Repaglinide Krka,['REPAGLINIDE'],EMEA/H/C/001066,"['MICROCRYSTALLINE CELLULOSE', 'MAGNESIUM STEARATE', 'POVIDONE', 'CALCIUM HYDROGEN PHOSPHATE', 'POLOXAMER', 'IRON OXIDE', 'GLYCEROL', 'MEGLUMINE', 'CROSCARMELLOSE SODIUM']",Tablet,CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,CHEMBL1272
26,REPAGLINIDE,Enyglid,['REPAGLINIDE'],EMEA/H/C/001065,"['MICROCRYSTALLINE CELLULOSE', 'MAGNESIUM STEARATE', 'POVIDONE', 'CALCIUM HYDROGEN PHOSPHATE', 'POLOXAMER', 'IRON OXIDE', 'GLYCEROL', 'MEGLUMINE', 'CROSCARMELLOSE SODIUM']",Tablet,CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,CHEMBL1272
27,EMTRICITABINE,Eviplera,"['EMTRICITABINE', 'RILPIVIRINE HYDROCHLORIDE', 'TENOFOVIR DISOPROXIL FUMARATE']",EMEA/H/C/002312,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'POLYSORBATE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POVIDONE', 'SUNSET YELLOW', 'GLYCEROL TRIACETATE', 'IRON OXIDE', 'INDIGO CARMINE', 'CROSCARMELLOSE SODIUM']",Tablet,C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,CHEMBL885
28,RILPIVIRINE HYDROCHLORIDE,Eviplera,"['EMTRICITABINE', 'RILPIVIRINE HYDROCHLORIDE', 'TENOFOVIR DISOPROXIL FUMARATE']",EMEA/H/C/002312,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'POLYSORBATE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POVIDONE', 'SUNSET YELLOW', 'GLYCEROL TRIACETATE', 'IRON OXIDE', 'INDIGO CARMINE', 'CROSCARMELLOSE SODIUM']",Tablet,CC1=CC(=CC(=C1NC2=NC(=NC=C2)NC3=CC=C(C=C3)C#N)C)/C=C/C#N.Cl,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1,CHEMBL175691
29,TENOFOVIR DISOPROXIL FUMARATE,Eviplera,"['EMTRICITABINE', 'RILPIVIRINE HYDROCHLORIDE', 'TENOFOVIR DISOPROXIL FUMARATE']",EMEA/H/C/002312,"['PREGELATINISED STARCH', 'TITANIUM DIOXIDE', 'POLYSORBATE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POVIDONE', 'SUNSET YELLOW', 'GLYCEROL TRIACETATE', 'IRON OXIDE', 'INDIGO CARMINE', 'CROSCARMELLOSE SODIUM']",Tablet,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.C(=C/C(=O)O)\C(=O)O,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,CHEMBL1538
30,TELOTRISTAT ETIPRATE,Xermelo,['TELOTRISTAT ETIPRATE'],EMEA/H/C/003937,"['TITANIUM DIOXIDE', 'LACTOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'TALC', 'HYDROXYPROPYLCELLULOSE', 'SILICON DIOXIDE, ANHYDROUS', 'CROSCARMELLOSE SODIUM']",Tablet,CCOC(=O)[C@H](CC1=CC=C(C=C1)C2=CC(=NC(=N2)N)O[C@H](C3=C(C=C(C=C3)Cl)N4C=CC(=N4)C)C(F)(F)F)N.C1=CC=C(C=C1)C(=O)NCC(=O)O,CCOC(=O)[C@@H](N)Cc1ccc(-c2cc(O[C@H](c3ccc(Cl)cc3-n3ccc(C)n3)C(F)(F)F)nc(N)n2)cc1,CHEMBL2105695
31,FERRIC MALTOL,Feraccru,['FERRIC MALTOL'],EMEA/H/C/002733,"['TITANIUM DIOXIDE', 'LACTOSE MONOHYDRATE', 'SHELLAC', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'BRILLIANT BLUE', 'PRINTING INK', 'SUNSET YELLOW', 'ALLURA RED', 'AMMONIUM HYDROXIDE', 'IRON OXIDE', 'PROPYLENE GLYCOL', 'SILICON DIOXIDE, ANHYDROUS', 'SODIUM LAURIL SULFATE', 'CROSPOVIDONE']",Hard Capsule,CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].[Fe+3],Cc1occc(=O)c1[O-].Cc1occc(=O)c1[O-].Cc1occc(=O)c1[O-].[Fe+3],CHEMBL4298110
32,SUCROFERRIC OXYHYDROXIDE,Velphoro,['SUCROFERRIC OXYHYDROXIDE'],EMEA/H/C/002705,"['SILICON DIOXIDE, ANHYDROUS', 'FLAVOUR', 'MAGNESIUM STEARATE', 'NEOHESPERIDIN-DIHYDROCHALCONE']",Chewable Tablet,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O.O.O.O.[OH-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Na+].[Na+].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3],OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O.[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Na+].[Na+].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-],CHEMBL3039566
33,SUCROFERRIC OXYHYDROXIDE,Velphoro,['SUCROFERRIC OXYHYDROXIDE'],EMEA/H/C/002705,"['MALTODEXTRIN', 'MICROCRYSTALLINE CELLULOSE', 'XANTHAN GUM', 'MAGNESIUM STEARATE', 'SILICON DIOXIDE, ANHYDROUS']",Powder,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O.O.O.O.[OH-].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[Na+].[Na+].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3],OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O.[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Fe+3].[Na+].[Na+].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[O-2].[OH-],CHEMBL3039566
34,DESLORATADINE,Aerinaze,"['DESLORATADINE', 'PSEUDOPHEDRINE SULFATE']",EMEA/H/C/000772,"['MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'STEARIC ACID', 'POVIDONE', 'DISODIUM EDETATE', 'SILICON DIOXIDE, ANHYDROUS', 'CITRIC ACID', 'INDIGO CARMINE', 'MAIZE STARCH']",Modified-Release Tablet,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,CHEMBL1172
35,PSEUDOEPHEDRINE SULFATE,Aerinaze,"['DESLORATADINE', 'PSEUDOPHEDRINE SULFATE']",EMEA/H/C/000772,"['MICROCRYSTALLINE CELLULOSE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'STEARIC ACID', 'POVIDONE', 'DISODIUM EDETATE', 'SILICON DIOXIDE, ANHYDROUS', 'CITRIC ACID', 'INDIGO CARMINE', 'MAIZE STARCH']",Modified-Release Tablet,C[C@@H]([C@H](C1=CC=CC=C1)O)NC.C[C@@H]([C@H](C1=CC=CC=C1)O)NC.OS(=O)(=O)O,CN[C@@H](C)[C@@H](O)c1ccccc1,CHEMBL1590
36,RIBOCICLIB SUCCINATE,Kisqali,['RIBOCICLIB SUCCINATE'],EMEA/H/C/004213,"['TITANIUM DIOXIDE', 'MICROCRYSTALLINE CELLULOSE', 'POLYVINYL ALCOHOL PART. HYDROLISED', 'LECITHIN', 'XANTHAN GUM', 'MAGNESIUM STEARATE', 'LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'TALC', 'CROSPOVIDONE']",Tablet,CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5.C(CC(=O)O)C(=O)O,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,CHEMBL3545110
37,BUDESONIDE,Jorveza,['BUDESONIDE'],EMEA/H/C/004655,"['MANNITOL', 'SUCRALOSE', 'DOCUSATE SODIUM', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POVIDONE', 'DISODIUM HYDROGEN CITRATE', 'SODIUM HYDROGEN CARBONATE', 'SODIUM CITRATE']",Orodispersible Tablet,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,CHEMBL1370
38,ABIRATERONE ACETATE,Zytiga,['ABIRATERONE ACETATE'],EMEA/H/C/002321,"['TITANIUM DIOXIDE', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'TALC', 'IRON OXIDE', 'SILICON DIOXIDE, ANHYDROUS', 'SILICIFIED MICROCRYSTALLINE CELLULOSE', 'SODIUM LAURIL SULFATE', 'CROSCARMELLOSE SODIUM']",Tablet,CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC=C4C5=CN=CC=C5)C)C,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(c4cccnc4)=CC[C@@H]32)C1,CHEMBL271227
